Index,Player Name,Team,Salary,Position,Age,GP,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,TRB,AST,STL,BLK,TOV,FOUL,PTS,PER,TS%,USG%,WS,BPM,VORP
455,Jarrell Brantley,UTA,105522,PF,26,4,9.8,2.0,0.571,1.0,0.444,1.0,0.8,0.714,0.5,1.0,1.5,0.8,0.0,0.5,0.5,0.8,5.5,18.5,0.739,18.1,0.1,3.5,0.1
456,Xavier Sneed,CHO,102910,SF,25,4,12.0,1.3,0.5,0.8,0.5,0.5,0.5,0.65,1.0,1.0,1.3,1.3,0.0,0.3,0.8,1.8,4.3,9.5,0.723,12.9,0.1,-3.6,0.0
457,Lindell Wigginton,MIL,99438,PG,24,7,12.4,2.6,0.486,0.9,0.333,1.7,0.632,0.568,1.1,0.889,1.0,2.0,0.0,0.3,1.7,1.0,7.1,11.8,0.61,25.6,0.1,-6.7,-0.1
458,Jordan Schakel,WAS,96514,SF,24,2,3.0,0.5,0.5,0.5,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,24.3,0.75,14.5,0.0,17.0,0.0
459,Stanley Umude,DET,58493,SG,23,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,65.6,0.532,40.0,0.0,48.6,0.0
460,Jeenathan Williams,POR,52644,SG,23,5,25.4,4.8,0.615,0.6,0.375,4.2,0.677,0.654,0.4,0.667,3.0,2.0,0.6,0.4,0.8,2.6,10.6,15.5,0.657,15.2,0.3,-3.0,0.0
461,Jay Scrubb,ORL,49719,SG,22,2,15.0,2.5,0.714,1.0,1.0,1.5,0.6,0.857,0.5,0.5,3.0,0.5,1.0,0.0,1.5,1.0,6.5,14.2,0.825,15.6,0.1,-1.9,0.0
462,Justin Minaya,POR,35096,SF,23,4,22.3,1.8,0.304,0.8,0.25,1.0,0.364,0.37,0.0,0.0,3.8,1.0,0.5,1.3,1.0,2.3,4.3,4.0,0.363,13.4,-0.1,-9.0,-0.2
463,Kobi Simmons,CHO,32795,SG,25,5,5.6,0.2,0.167,0.2,0.2,0.0,0.0,0.25,0.4,1.0,0.8,1.0,0.0,0.4,0.2,0.0,1.0,9.0,0.363,11.8,0.0,-0.9,0.0
464,Gabe York,IND,32171,SG,29,3,18.7,2.7,0.381,2.0,0.333,0.7,0.667,0.524,0.7,1.0,2.0,1.7,0.7,0.0,0.0,1.7,8.0,11.8,0.548,16.4,0.1,-3.5,0.0
465,RaiQuan Gray,BRK,5849,PF,23,1,35.0,6.0,0.5,2.0,0.4,4.0,0.571,0.583,2.0,1.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,15.5,0.621,21.4,0.1,-2.0,0.0
466,Jacob Gilyard,MEM,5849,PG,24,1,41.0,1.0,0.333,1.0,0.333,0.0,0.0,0.5,0.0,0.0,4.0,7.0,3.0,0.0,2.0,3.0,3.0,7.3,0.5,5.1,0.1,-6.1,0.0
